f Psc;1.296654;+;3.614467;0;5.13;-
ups Psc;1.324443;+;27.264058;0;4.74;-
42 Cet;1.330083;+;0;0;5.87;-
phi Cas;1.334699;+;58.231611;0;4.95;-
35 Cas;1.351463;+;64.658128;0;6.33;-
l Psc;1.352048;+;28.738214;0;5.23;-
ksi And;1.372339;+;45.528778;0;4.87;Adhil
43 Cet;1.376341;+;0;0;6.5;-
47 And;1.394615;+;37.714939;0;5.6;-
tet Cet;1.400402;-;8.182756;0;3.6;-
44 Cet;1.400705;-;8.007408;0;6.21;-
46 Cet;1.42701;-;14.598792;0;4.9;-
del Cas;1.430173;+;60.235397;0;2.66;Ruchbah
psi Cas;1.432228;+;68.130017;0;4.72;-
rho Psc;1.437573;+;19.172342;0;5.35;-
94 Psc;1.444911;+;19.240425;0;5.5;-
47 Cet;1.447657;-;13.056511;0;5.51;-
R Scl;1.449472;-;32.543103;0;6.57;-
ome And;1.460939;+;45.406694;0;4.83;-
95 Psc;1.461057;+;5.352792;0;7.21;-
gam Phe;1.472758;-;43.318244;0;3.41;-
48 Cet;1.493362;-;21.629344;0;5.11;-
97 Psc;1.498018;+;18.355669;0;6.01;-
49 And;1.501695;+;47.007281;0;5.27;-
mu. Psc;1.503087;+;6.143828;0;4.84;-
38 Cas;1.520488;+;70.2646;0;5.82;-
del Phe;1.520863;-;49.0727;0;3.93;-
eta Psc;1.524725;+;15.345828;0;3.62;Al'farg
chi Cas;1.565521;+;59.232042;0;4.68;-
49 Cet;1.577161;-;15.676358;0;5.62;-
100 Psc;1.581006;+;12.558639;0;7.05;-
101 Psc;1.596234;+;14.661425;0;6.23;-
50 Cet;1.599714;-;15.400186;0;5.41;-
tau Scl;1.602369;-;29.907553;0;5.69;-
ups And;1.613325;+;41.406342;0;4.1;-
pi. Psc;1.618322;+;12.141508;0;5.54;-
ups Per;1.63321;+;48.628214;0;3.59;-
40 Cas;1.641921;+;73.040039;0;5.28;-
104 Psc;1.65429;+;14.285561;0;6.74;-
chi And;1.655833;+;44.386158;0;5.01;-
105 Psc;1.661338;+;16.405861;0;5.98;-
p Eri A;1.66321;-;56.193378;0;5.76;-
tau And;1.676338;+;40.57705;0;4.96;-
tau01 Hyi;1.689302;-;79.1482;0;6.33;-
nu. Psc;1.690526;+;5.487608;0;4.45;-
pi. Scl;1.702389;-;32.326922;0;5.25;-
43 Cas;1.705703;+;68.043019;0;5.57;-
q01 Eri;1.708144;-;53.740831;0;5.52;-
107 Psc;1.708268;+;20.268533;0;5.24;-
42 Cas;1.715517;+;70.622528;0;5.18;-
44 Cas;1.722154;+;60.551344;0;5.78;-
phi Per;1.727677;+;50.688731;0;4.01;-
tau Cet;1.734744;-;15.939506;0;3.49;-
109 Psc;1.748841;+;20.083156;0;6.27;-
omi Psc;1.756564;+;9.157742;0;4.26;Torcularis Septentrionalis
eps Scl;1.760739;-;25.052439;0;5.29;-
120 Phe;1.768324;-;50.816256;0;5.49;-
q02 Eri;1.768407;-;53.522036;0;5.04;-
VY Psc;1.776472;+;17.412697;0;6.55;-
tau02 Hyi;1.796235;-;80.176306;0;6.05;-
4 Ari;1.803038;+;16.95555;0;5.86;-
chi Cet;1.826418;-;10.686411;0;4.66;-
1 Ari A;1.835729;+;22.27455;0;5.83;-
54 Cet;1.84777;+;11.043381;0;5.92;-
zet Cet;1.857676;-;10.335042;0;3.74;Baten Kaitos
1 Per;1.866474;+;55.147403;0;5.53;-
2 Per;1.86927;+;50.792794;0;5.7;-
eta01 Hyi;1.876326;-;67.944506;0;6.77;-
alf Tri;1.884697;+;29.578833;0;3.42;Metallah
55 And;1.888151;+;40.729792;0;5.42;-
gam01 Ari;1.892158;+;19.294078;0;3.88;Mesarthim
ksi Psc;1.892597;+;3.187528;0;4.61;-
psi Phe;1.894095;-;46.302669;0;4.39;-
phi Phe;1.906121;-;42.496944;0;5.12;-
eps Cas;1.906579;+;63.670144;0;3.35;Segin
bet Ari;1.910653;+;20.808283;0;2.64;Sheratan
eta02 Hyi;1.915591;-;67.647303;0;4.68;-
sig Hyi;1.930707;-;78.348547;0;6.15;-
7 Ari;1.930844;+;23.577319;0;5.76;-
chi Eri;1.93263;-;51.608872;0;3.69;-
ome Cas;1.93334;+;68.685242;0;4.97;-
56 And;1.935934;+;37.251831;0;5.69;-
56 Cet;1.944499;-;22.526783;0;4.92;-
iot Ari;1.955849;+;17.817531;0;5.09;-
lam Ari;1.965477;+;23.596064;0;4.79;-
58 Cet;1.966503;-;2.059489;0;6.52;-
3 Per;1.975974;+;49.204358;0;5.7;-
alf Hyi;1.979413;-;61.569925;0;2.86;-
57 Cet;1.996167;-;20.824536;0;5.43;-
ups Cet;2.000086;-;21.077831;0;3.99;-
112 Psc;2.002544;+;3.097019;0;5.89;-
X Tri;2.009371;+;27.888669;0;9.1;-
pi. For;2.020756;-;30.001831;0;5.34;-
chi Phe;2.028438;-;44.713508;0;5.15;-
48 Cas;2.032621;+;70.907064;0;4.49;-
alf Psc B;2.034118;+;2.763731;0;3.82;Alrisha
g Per;2.038354;+;54.48755;0;4.99;-
52 Cas;2.04791;+;64.901467;0;6;-
eps Tri;2.049432;+;33.284136;0;5.5;-
53 Cas;2.050052;+;64.390017;0;5.59;-
60 Cet;2.053236;+;0;0;5.42;-
50 Cas;2.057274;+;72.421242;0;3.95;-
10 Ari;2.06093;+;25.935472;0;5.64;-
61 Cet;2.063381;+;0;0;5.96;-
gam01 And;2.064978;+;42.329844;0;2.1;Almach
nu. For;2.074844;-;29.296819;0;4.68;-
47 Cas;2.085383;+;77.281314;0;5.27;-
49 Cas;2.092098;+;76.115058;0;5.22;-
kap Ari;2.109424;+;22.648314;0;5.03;-
11 Ari;2.113676;+;25.704553;0;6.01;-
alf Ari;2.119526;+;23.462761;0;2.01;Hamal
58 And;2.141461;+;37.859083;0;4.78;-
54 Cas;2.152295;+;71.552011;0;6.57;-
14 Ari;2.157037;+;25.939883;0;4.98;-
bet Tri;2.159063;+;34.987294;0;3;-
15 Ari;2.177111;+;19.500339;0;5.68;-
59 And A;2.181341;+;39.039544;0;6.09;-
59 And B;2.181577;+;39.0433;0;6.82;-
16 Ari;2.186682;+;25.936942;0;6.01;-
64 Cet;2.189189;+;8.569806;0;5.64;-
5 Tri;2.190284;+;31.526397;0;6.24;-
5 Per;2.191443;+;57.645547;0;6.38;-
63 Cet;2.193288;-;1.825425;0;5.94;-
iot Tri;2.206188;+;30.303075;0;4.94;-
66 Cet;2.213206;-;2.393625;0;5.65;-
eta Ari;2.213357;+;21.210992;0;5.23;-
mu. For;2.215131;-;30.723825;0;5.27;-
ksi01 Cet;2.216666;+;8.846731;0;4.36;-
19 Ari;2.217585;+;15.279856;0;5.72;-
b And;2.220368;+;44.231653;0;4.84;-
6 Per;2.226762;+;51.065814;0;5.31;-
pi.01 Hyi;2.237373;-;67.841439;0;5.57;-
55 Cas;2.241415;+;66.524428;0;6.05;-
pi.02 Hyi;2.257952;-;67.746367;0;5.67;-
21 Ari;2.261883;+;25.043039;0;5.57;-
20 Ari;2.262792;+;25.782936;0;5.79;-
7 Tri;2.265634;+;33.358897;0;5.25;-
phi Eri;2.275163;-;51.512169;0;3.56;-
67 Cet;2.283068;-;6.422111;0;5.51;-
del Tri;2.284231;+;34.224242;0;4.84;-
gam Tri;2.288574;+;33.847194;0;4.03;-
8 Per;2.299969;+;57.899819;0;5.75;-
chi Per;2.301274;+;57.516319;0;5.99;Misam
tet Ari;2.302094;+;19.901164;0;5.58;-
10 Tri;2.315832;+;28.642675;0;5.29;-
c And;2.321332;+;47.379972;0;5.31;-
omi Cet;2.322441;-;2.977644;0;6.47;Mira
63 And;2.349502;+;50.151469;0;5.57;-
del Hyi;2.362484;-;68.659422;0;4.08;-
69 Cet;2.36573;+;0;0;5.29;-
70 Cet;2.37011;+;0;0;5.42;-
i Per;2.372621;+;55.845658;0;5.16;-
kap For;2.375674;-;23.816317;0;5.19;-
kap Hyi;2.381196;-;73.645792;0;5.99;-
64 And;2.406921;+;50.006547;0;5.19;-
ksi Ari;2.413627;+;10.610564;0;5.48;-
lam Hor;2.414975;-;60.31195;0;5.36;-
71 Cet;2.41622;-;2.780033;0;6.34;-
10 Per;2.421119;+;56.609828;0;6.25;-
65 And;2.427062;+;50.278631;0;4.73;-
rho Cet;2.432502;-;12.290478;0;4.88;-
kap Eri;2.449756;-;47.703842;0;4.24;-
25 Ari;2.456497;+;10.198331;0;6.45;-
11 Tri;2.457714;+;31.801281;0;5.55;-
66 And;2.464383;+;50.569975;0;6.16;-
phi For;2.46714;-;33.811039;0;5.13;-
ksi02 Cet;2.469317;+;8.460072;0;4.3;-
12 Tri;2.469439;+;29.669333;0;5.29;-
13 Tri;2.480138;+;29.931758;0;5.89;-
iot Cas;2.484433;+;67.402417;0;4.46;-
26 Ari;2.510672;+;19.855303;0;6.14;-
27 Ari;2.515111;+;17.703858;0;6.21;-
mu. Hyi;2.527919;-;79.109389;0;5.27;-
alf UMi;2.529774;+;89.264136;0;1.97;Polaris
sig Cet;2.534787;-;15.244625;0;4.74;-
14 Tri;2.535047;+;36.147267;0;5.15;-
75 Cet;2.535951;-;1.034894;0;5.36;-
29 Ari;2.548372;+;15.034553;0;6;-
lam01 For;2.551952;-;34.649967;0;5.91;-
ome For;2.564086;-;28.232344;0;4.96;-
77 Cet;2.578507;-;7.859444;0;5.74;-
79 Cet;2.588869;-;3.560592;0;6.83;-
15 Tri;2.596339;+;34.687558;0;5.38;-
nu. Cet;2.597909;+;5.593244;0;4.87;-
80 Cet;2.600014;-;7.831592;0;5.53;-
iot01 For;2.602574;-;30.044983;0;5.74;-
31 Ari;2.610533;+;12.447639;0;5.64;-
30 Ari B;2.616038;+;24.648053;0;6.68;-
lam02 For;2.61628;-;34.577983;0;5.78;-
30 Ari A;2.616812;+;24.647219;0;6.48;-
eta Hor;2.623433;-;52.543122;0;5.3;-
81 Cet;2.628278;-;3.396172;0;5.65;-
iot02 For;2.638517;-;30.194064;0;5.84;-
nu. Ari;2.646943;+;21.961408;0;5.45;-
del Cet;2.658042;+;0;0;4.08;-
eps Cet;2.659394;-;11.872158;0;4.83;-
eps Hyi;2.659821;-;68.266947;0;4.12;-
s Eri;2.663334;-;42.891689;0;4.74;-
zet Hor;2.67767;-;54.549911;0;5.21;-
iot Eri;2.677787;-;39.855378;0;4.11;-
33 Ari;2.678076;+;27.060944;0;5.3;-
84 Cet;2.687223;+;0;0;5.72;-
12 Per;2.704143;+;40.193953;0;4.91;-
mu. Ari;2.706094;+;20.011467;0;5.74;-
85 Cet;2.708038;+;10.741722;0;6.32;-
iot Hor;2.709296;-;50.800294;0;5.4;-
11 Per;2.717455;+;55.106017;0;5.76;-
gam Cet;2.7217;+;3.236167;0;3.47;Kaffaljidhma
35 Ari;2.724199;+;27.70715;0;4.65;-
14 Per;2.734766;+;44.297039;0;5.43;-
pi. Cet;2.735375;-;13.858706;0;4.24;-
tet Per;2.736584;+;49.228656;0;4.1;-
36 Ari;2.738643;+;17.763928;0;6.4;-
omi Ari;2.742493;+;15.311861;0;5.78;-
mu. Cet;2.749039;+;10.114144;0;4.27;-
38 Ari;2.749328;+;12.445761;0;5.17;-
tau01 Eri;2.751718;-;18.572567;0;4.47;-
gam Hor;2.757633;-;63.70455;0;5.73;-
zet Hyi;2.759065;-;67.616619;0;4.83;-
eta01 For;2.792708;-;35.550622;0;6.51;-
39 Ari;2.798484;+;29.247125;0;4.52;-
40 Ari;2.808914;+;18.283794;0;5.83;-
RZ Cas;2.815419;+;69.634286;0;6.26;-
nu. Hor;2.81708;-;62.806525;0;5.25;-
bet For;2.818172;-;32.405878;0;4.45;-
pi. Ari;2.821544;+;17.464311;0;5.26;-
gam01 For;2.830823;-;24.560306;0;6.14;-
gam02 For;2.831717;-;27.941983;0;5.39;-
41 Ari;2.833065;+;27.260517;0;3.61;-
eta02 For;2.83744;-;35.843639;0;5.92;-
nu. Hyi;2.841239;-;75.066944;0;4.76;-
16 Per;2.843072;+;38.318658;0;4.22;-
eta03 For;2.844558;-;35.675853;0;5.48;-
eta Per;2.844948;+;55.895492;0;3.77;Miram
tau02 Eri;2.850644;-;21.004025;0;4.76;Angetenar
sig Ari;2.858218;+;15.082069;0;5.52;-
17 Per;2.858566;+;35.059747;0;4.56;-
SU Cas;2.866319;+;68.888497;0;5.94;-
psi For;2.892888;-;38.437003;0;5.93;-
20 Per;2.895171;+;38.337486;0;5.34;-
tau Per;2.904295;+;52.762489;0;3.93;-
rho01 Ari;2.915332;+;17.734758;0;7.1;-
rho02 Ari;2.930138;+;18.331639;0;5.76;-
eta Eri;2.940446;-;8.897644;0;3.89;Azha
rho Ari;2.940598;+;18.023139;0;5.58;-
21 Per;2.954801;+;31.934219;0;5.1;-
4 Eri;2.956602;-;23.862167;0;5.44;-
47 Ari;2.968117;+;20.668733;0;5.8;-
6 Eri;2.968259;-;23.606011;0;5.82;-
tet01 Eri;2.971233;-;40.304717;0;2.88;Acamar
pi. Per;2.979353;+;39.662733;0;4.68;Gorgonea Secunda
bet Hor;2.979943;-;64.071289;0;4.98;-
24 Per;2.984355;+;35.183128;0;4.94;-
eps Ari B;2.986855;+;21.340072;0;4.63;-
zet For;2.993384;-;25.274136;0;5.69;-
5 Eri;2.994767;-;2.464953;0;5.56;-
lam Cet;2.995249;+;8.907397;0;4.71;-
7 Eri;3.014133;-;2.878619;0;6.11;-
rho01 Eri;3.019451;-;7.662997;0;5.75;-
eps For;3.027121;-;28.091544;0;5.88;-
49 Ari;3.031706;+;26.462353;0;5.91;-
tet Hyi;3.037624;-;71.902461;0;5.51;-
alf Cet;3.037992;+;4.089736;0;2.54;Menkar
93 Cet;3.039588;+;4.352892;0;5.62;-
tau03 Eri;3.039886;-;23.624342;0;4.08;-
51 Ari;3.040563;+;26.609256;0;6.62;-
rho02 Eri;3.045078;-;7.685472;0;5.32;-
mu. Hor;3.060228;-;59.737778;0;5.12;-
rho03 Eri;3.071254;-;7.600858;0;5.26;-
gam Per;3.079942;+;53.506453;0;2.91;-
rho Per;3.086276;+;38.840281;0;3.32;Gorgonea Tertia
52 Ari;3.090747;+;25.255169;0;5.45;-
