NGC172	0.620444	-	22.586667	2	13.4	-
NGC173	0.620111	+	1.942222	3.2	13	-
NGC174	0.616333	-	29.477778	1.4	12.9	-
NGC175	0.622639	-	19.934444	2.1	12.2	-
NGC176	0.599667	-	73.166111	1	12.7	-
NGC177	0.626194	-	22.549167	2.2	13.3	-
NGC178	0.652333	-	14.172222	2.1	12.6	-
NGC179	0.629528	-	17.850000	0.9	13.3	-
NGC180	0.632694	+	8.634722	1.9	12.9	-
NGC181	0.639806	+	29.473333	0.7	14.9	-
NGC182	0.636778	+	2.728611	1.9	12.4	-
NGC183	0.641472	+	29.511667	1.7	12.7	-
NGC184	0.643278	+	29.447500	0.7	14.7	-
NGC185	0.649333	+	48.337222	8	9.2	-
NGC186	0.640333	+	3.166111	1.4	13.4	-
NGC187	0.658389	-	14.656389	1.3	13.2	-
NGC188	0.791667	+	85.258333	15	8.1	-
NGC189	0.659889	+	61.095000	5	8.8	-
NGC190	0.648528	+	7.062222	0.9	14	-
NGC190A	0.648500	+	7.056389	0.6	14.8	-
NGC191	0.649778	-	9.002778	1.4	12.5	-
NGC191A	0.650028	-	9.015000	0.7	14	-
NGC192	0.653750	+	0.864167	1.9	12.6	-
NGC193	0.655139	+	3.331111	1.4	12.3	-
NGC194	0.655083	+	3.037500	1.6	12.2	-
NGC195	0.659917	-	9.194167	1.2	13.7	-
NGC196	0.654944	+	0.913056	1.3	12.9	-
NGC197	0.655194	+	0.892500	0.7	14.1	-
NGC198	0.656361	+	2.798333	1.2	13.2	-
NGC199	0.659194	+	3.138056	1.2	13.6	-
NGC200	0.659639	+	2.886944	1.7	12.6	-
NGC201	0.659694	+	0.860278	1.8	12.9	-
NGC202	0.661028	+	3.535556	0.9	14.3	-
NGC203	0.660972	+	3.442500	0.9	14	-
NGC204	0.662278	+	3.300000	1.2	12.9	-
NGC205	0.672806	+	41.685278	19.5	8.1	-
NGC206	0.675639	+	40.738333	4.2	14	-
NGC207	0.661306	-	14.236389	0.9	13.7	-
NGC208	0.671500	+	2.755833	0.7	14.3	-
NGC209	0.650972	-	18.608333	1.1	12.9	-
NGC210	0.676333	-	13.872500	5	10.9	-
NGC211	0.660972	+	3.442500	0.9	14	-
NGC212	0.670389	-	56.152500	1	13.3	-
NGC213	0.686083	+	16.469722	1.5	13.5	-
NGC214	0.691111	+	25.499444	1.9	12.3	-
NGC215	0.680250	-	56.214167	1.1	13	-
NGC216	0.690861	-	21.045278	2	13.2	-
NGC217	0.692750	-	10.021667	2.7	12.4	-
NGC218	0.775556	+	36.325556	1.5	12.6	-
NGC219	0.703139	+	0.904444	0.5	14.3	-
NGC220	0.675000	-	73.404167	0.8	12.4	-
NGC221	0.711611	+	40.865833	8.5	8.1	-
NGC222	0.678806	-	73.385833	0.6	12.2	-
NGC223	0.704417	+	0.846111	1.3	13.2	-
NGC224	0.712306	+	41.268889	189.1	3.4	-
NGC225	0.726667	+	61.766667	15	7	-
NGC226	0.714972	+	32.580278	0.9	13.4	-
NGC227	0.710167	-	1.528056	1.5	12.2	-
NGC228	0.715139	+	23.503333	1.2	13.7	-
NGC229	0.717972	+	23.509444	1	14.1	-
NGC230	0.707500	-	23.628889	1.1	14.5	-
NGC231	0.685111	-	73.352500	0.8	12.7	-
NGC232	0.712694	-	23.561667	0.9	13.3	-
NGC233	0.726806	+	30.586944	1.2	12.4	-
NGC234	0.725639	+	14.342500	1.5	12.6	-
NGC235A	0.714639	-	23.541111	1.3	13.2	-
NGC235B	0.714944	-	23.545278	0.4	13.5	-
NGC236	0.724278	+	2.958056	1.2	13.5	-
NGC237	0.724417	-	0.125278	1.6	13	-
NGC238	0.723778	-	50.182778	2	12.5	-
NGC239	0.743750	-	3.760000	1	13.3	-
NGC240	0.750528	+	6.112778	1.2	13.7	-
NGC241	0.725889	-	73.442500	0.9		-
NGC242	0.725889	-	73.442500	0.9		-
NGC243	0.766861	+	29.959722	0.9	13.7	-
NGC244	0.762917	-	15.597222	1.2	12.9	-
NGC245	0.768194	-	1.723333	1.3	12.3	-
NGC246	0.784250	-	11.871389	4.08	10.9	-
NGC247	0.785639	-	20.760000	19.2	9.1	-
NGC248	0.756667	-	73.380278	1		-
NGC249	0.758833	-	73.080278	2		-
NGC250	0.787778	+	7.910000	1.1	13.8	-
NGC251	0.798306	+	19.596944	2.4	13.2	-
NGC252	0.800472	+	27.623333	1.4	12.4	-
NGC253	0.792528	-	25.287500	29	7.2	-
NGC254	0.790972	-	31.421944	2.6	11.7	-
NGC255	0.796472	-	11.468333	3.1	11.9	-
NGC256	0.764806	-	73.506944	0.6	12.7	-
NGC257	0.800444	+	8.296667	1.9	12.6	-
NGC258	0.803556	+	27.657778	0.5	14.2	-
NGC259	0.800889	-	2.775833	2.9	12.8	-
NGC260	0.809694	+	27.691944	0.8	13.5	-
NGC261	0.774417	-	73.103889	1.9		-
NGC262	0.813083	+	31.957500	1.1	13.1	-
NGC263	0.813444	-	13.107222	0.7	14.3	-
NGC264	0.805806	-	38.234444	1.1	13.5	-
NGC265	0.786417	-	73.477222	1	12.2	-
NGC266	0.829944	+	32.277500	3	11.6	-
NGC267	0.800806	-	73.274167	2.5		-
NGC268	0.835944	-	5.193889	1.6	13.1	-
NGC269	0.805833	-	73.531667	0.6	13.3	-
NGC270	0.842333	-	8.651667	1.7	12.9	-
NGC271	0.844972	-	1.910556	2.2	12	-
NGC272	0.857222	+	35.821667	5	8.5	-
NGC273	0.846778	-	6.885556	2.1	12.9	-
NGC274	0.850500	-	7.056667	1.4	11.8	-
NGC275	0.851250	-	7.065278	1.5	12.5	-
NGC276	0.868472	-	22.680278	1	14.7	-
NGC277	0.854778	-	8.596389	1.4	13.7	-
NGC278	0.867917	+	47.550833	2.1	10.8	-
NGC279	0.869139	-	2.218333	1.6	12.7	-
NGC280	0.875056	+	24.350833	1.7	13.3	-
NGC281	0.881611	+	56.625000	35		-
NGC282	0.878333	+	30.638889	1	13.7	-
NGC283	0.886972	-	13.163333	1.6	14.1	-
NGC284	0.890056	-	13.158333	0.6	14.4	-
NGC285	0.891611	-	13.160278	0.7	14.7	-
NGC286	0.891750	-	13.112222	1.3	14.1	-
NGC287	0.891194	+	32.482500	0.8	14	-
NGC288	0.879306	-	26.597500	13	8.1	-
NGC289	0.878361	-	31.205556	5.1	11	-
NGC290	0.854083	-	73.162500	0.8	12	-
NGC291	0.891611	-	8.767500	1.1	13.9	-
NGC292	0.877222	-	72.800000	319.1	2.3	-
NGC293	0.904444	-	7.235556	1.1	14.2	-
NGC294	0.884917	-	73.380556	0.8	12.7	-
NGC295	0.992306	+	31.798056	0.6	14.2	-
NGC296	0.918722	+	31.542222	2.2	12.6	-
NGC297	0.916361	-	7.350278	0.3	15.5	-
NGC298	0.917278	-	7.333611	1.7	13.8	-
NGC299	0.890194	-	72.196389	0.7		-
NGC300	0.914806	-	37.684167	19	8.1	-
NGC301	0.938417	-	10.673333	0.7	14.8	-
NGC302	0.940333	-	10.662222			-
NGC303	0.915167	-	16.655000	0.7	14.3	-
NGC304	0.935000	+	24.127222	1.1	13.1	-
NGC305	0.939167	+	12.063333			-
NGC306	0.904194	-	72.242500	0.8		-
NGC307	0.942361	-	1.772222	1.6	12.8	-
NGC308	0.942861	-	1.783611			-
NGC309	0.945167	-	9.914167	3	11.9	-
NGC310	0.946639	-	1.764722			-
NGC311	0.959111	+	30.280278	1.5	13	-
NGC312	0.937694	-	52.783056	1.4	12.4	-
NGC313	0.962694	+	30.366667			-
NGC314	0.947889	-	31.963056	0.9	13.4	-
NGC315	0.963611	+	30.351944	3	11.2	-
NGC316	0.964556	+	30.354444			-
NGC317A	0.960833	+	43.801389	1.4	13.5	-
NGC317B	0.961250	+	43.791944	1.1	13.4	-
NGC318	0.968111	+	30.426111	0.5	14.4	-
NGC319	0.949333	-	43.838611	1	13.4	-
NGC320	0.979556	-	20.840278	0.8	13.8	-
NGC321	0.960889	-	5.085833	0.4	15	-
NGC322_1	0.952778	-	43.726944	0.9	13.4	-
NGC322_2	0.952528	-	43.730000	0.15	16.5	-
NGC323	0.944917	-	52.975833	1.3	12.6	-
NGC324	0.954056	-	40.959444	1.4	12.9	-
NGC325	0.963306	-	5.112500	1.3	14.8	-
NGC326	0.972944	+	26.865833	1.4	13.2	-
NGC327	0.965333	-	5.130833	1.5	13.4	-
NGC328	0.949250	-	52.923611	2.6	13.4	-
NGC329	0.967056	-	5.070556	1.5	13.3	-
NGC330	0.938833	-	72.462222	1.4	9.6	-
NGC331	0.785194	-	2.731111	0.8	14.6	-
NGC332	0.980278	+	7.111111	1	14	-
NGC333	0.980917	-	16.468889	1.6	13.9	-
NGC333A	0.980917	-	16.468889	1.6	13.9	-
NGC333B	0.980806	-	16.471944	0.3	14.7	-
NGC334	0.980500	-	35.115556	1.2	13.6	-
NGC335	0.988778	-	18.234167	1.1	14	-
NGC336	0.967500	-	18.385833	0.6	14.7	-
NGC337	0.997194	-	7.578056	3	11.6	-
NGC337A	1.026028	-	7.588333	6.6	12.2	-
NGC338	1.010139	+	30.669167	1.8	12.8	-
NGC339	0.962500	-	74.472222	2.2	12.8	-
NGC340	1.009667	-	6.866111	0.9	13.7	-
NGC341	1.012722	-	9.186111	1.2	13	-
NGC341A	1.012722	-	9.186111	1.2	13	-
NGC341B	1.013222	-	9.187222	0.3	15.8	-
NGC342	1.013833	-	6.772222	0.8	14.4	-
NGC343	0.973306	-	23.224444	0.7	15.5	-
NGC344	0.973722	-	23.228889	0.4	16.1	-
NGC345	1.022778	-	6.884167	1.2	13.9	-
NGC346	0.984722	-	72.177222	14		-
NGC347	1.026417	-	6.733611	0.6	14.8	-
NGC348	1.014389	-	53.245000	0.8	13.8	-
NGC349	1.030750	-	6.799722	1.3	13.1	-
NGC350	1.032389	-	6.795278	0.7	14.4	-
NGC351	1.032722	-	1.936389	1.5	13.2	-
NGC352	1.035861	-	4.245278	2.4	12.6	-
NGC353	1.040167	-	1.956944	1.3	13.7	-
NGC354	1.054528	+	22.342778	0.8	13.5	-
NGC355	1.051917	-	6.323611	1	15.3	-
NGC356	1.051944	-	6.988056	1.8	13.1	-
NGC357	1.056056	-	6.339167	2.5	12	-
NGC358	1.086333	+	62.021111	2.5		-
NGC359	1.071361	-	0.764444	1.5	13.4	-
NGC360	1.047639	-	65.608889	3.6	12.5	-
NGC361	1.036417	-	71.606667	1.6		-
NGC362	1.053972	-	70.847778	14	6.8	-
NGC363	1.104361	-	16.542222	0.6	14.7	-
NGC364	1.078000	-	0.802778	1.4	13.1	-
NGC365	1.071833	-	35.122222	1	13.4	-
NGC366	1.107194	+	62.228889	4		-
NGC367	1.096917	-	12.128333	0.9	14.7	-
NGC368	1.072750	-	43.276111	0.7	13.8	-
NGC369	1.085778	-	17.759167	1	13.8	-
NGC370	1.112389	+	32.429167			-
NGC371	1.057222	-	72.065000	7.5		-
NGC372	1.112389	+	32.429167			-
NGC373	1.116194	+	32.308889	0.4	14.9	-
NGC374	1.118278	+	32.794722	1.1	13.5	-
NGC375	1.118278	+	32.348611	0.5	14.5	-
NGC376	1.064833	-	72.823889	1	10.9	-
NGC377	1.109750	-	20.331389	0.8	15.1	-
NGC378	1.103333	-	30.178056	1.5	13.1	-
NGC379	1.121028	+	32.520278	1.4	12.8	-
NGC380	1.121556	+	32.482778	1.3	12.5	-
NGC381	1.138889	+	61.583333	7	9.3	-
NGC382	1.123306	+	32.403333	0.7	13.2	-
NGC383	1.123583	+	32.412222	2	12.2	-
NGC384	1.123611	+	32.292778	1.1	13.1	-
NGC385	1.124222	+	32.319444	1.1	13	-
NGC386	1.125333	+	32.362500	0.4	14.3	-
NGC387	1.125833	+	32.390833	0.4	15.5	-
NGC388	1.129750	+	32.310556	0.6	14.3	-
NGC389	1.141611	+	39.695000	1.3	14	-
NGC390	1.131583	+	32.433611			-
NGC391	1.122917	+	0.925833	0.9	13.5	-
NGC392	1.139806	+	33.133333	1.2	12.7	-
NGC393	1.143583	+	39.643889	1.7	12.5	-
NGC394	1.140583	+	33.147778	0.6	13.8	-
NGC395	1.085361	-	71.994167	17		-
NGC396	1.135694	+	4.530833	0.4	15.7	-
NGC397	1.141944	+	33.109722	0.7	14.8	-
NGC398	1.148222	+	32.515000	0.8	14.5	-
NGC399	1.149750	+	32.633611	0.9	13.5	-
NGC400	1.150694	+	32.733056			-
NGC401	1.152139	+	32.760000			-
NGC402	1.153722	+	32.805833			-
NGC403	1.153944	+	32.751667	1.8	12.5	-
NGC404	1.157472	+	35.718333	3.5	10.3	-
NGC405	1.142667	-	46.668333			-
NGC406	1.123444	-	69.876111	2.6	12.5	-
NGC407	1.176806	+	33.125278	1.8	13.4	-
NGC408	1.180833	+	33.152222			-
NGC409	1.159222	-	35.805556	1.3	13	-
NGC410	1.183000	+	33.152500	2.4	11.5	-
NGC411	1.132139	-	71.768611	1.3	12.2	-
NGC412	1.172222	-	20.015000			-
NGC413	1.208694	-	2.793333	1.2	14.1	-
NGC414	1.188222	+	33.113611	0.7	13.8	-
NGC415	1.168194	-	35.490278	1.5	13.4	-
NGC416	1.132917	-	72.356944	1.2	12.6	-
NGC417	1.184861	-	18.148611	0.6	14	-
NGC418	1.176556	-	30.221111	2	12.6	-
NGC419	1.138111	-	72.883333	2.4	11.2	-
NGC420	1.204000	+	32.123611			-
NGC421	1.202667	+	32.123056	2	12.1	-
NGC422	1.157056	-	71.766667		13.4	-
NGC423	1.189472	-	29.234444	1	13.5	-
NGC424	1.191000	-	38.083611	2.3	12.9	-
NGC425	1.217417	+	38.769167	1	12.7	-
NGC426	1.213472	-	0.289722	1.4	12.9	-
NGC427	1.205333	-	32.061111	1	14	-
NGC428	1.215444	+	0.981389	4	11.5	-
NGC429	1.215944	-	0.345000	1.4	13.4	-
NGC430	1.216639	-	0.252500	1.3	12.5	-
NGC431	1.234611	+	33.705278	1.4	12.9	-
NGC432	1.196194	-	61.527500	1.3	13	-
NGC433	1.252556	+	60.125833	4		-
NGC434	1.203972	-	58.247222	2.2	12	-
NGC434A	1.208389	-	58.207778	1.2	14.9	-
NGC435	1.233278	+	2.071111	1.1	14.2	-
NGC436	1.266111	+	58.811667	5	8.8	-
NGC437	1.239528	+	5.926389	1.3	12.8	-
NGC438	1.226194	-	37.901389	1.4	12.8	-
NGC439	1.229778	-	31.747222	2.5	11.5	-
NGC440	1.213444	-	58.282778	1.2	13.2	-
NGC441	1.230861	-	31.788889	1.4	12.7	-
NGC442	1.244056	-	1.020556	1	13.4	-
NGC443	1.252083	+	33.377778	0.8	13.1	-
NGC444	1.263778	+	31.080556	1.9	14.3	-
NGC445	1.247944	+	1.917500	0.5	14.2	-
NGC446	1.267694	+	4.294444	2	12.4	-
NGC447	1.260528	+	33.066389	2.2	14	-
NGC448	1.254583	-	1.625278	1.6	12.1	-
NGC449	1.268750	+	33.088889	0.8	14.2	-
NGC450	1.258444	-	0.861389	3	11.8	-
NGC451	1.270111	+	33.063611	0.7	14	-
NGC452	1.270833	+	31.033333	2.5	12.5	-
NGC453	1.271472	+	33.014722			-
NGC454_1	1.239333	-	55.400556	1.7	12.2	-
NGC454_2	1.240222	-	55.397222	1	13.7	-
NGC455	1.266000	+	5.178333	2	12.7	-
NGC456	1.229444	-	73.291667	15		-
NGC457	1.325833	+	58.295000	20	6.4	-
NGC458	1.247667	-	71.551111	1.5		-
NGC459	1.302278	+	17.562500	0.7	14.4	-
NGC460	1.243889	-	73.291667	1	12.5	-
NGC461	1.288972	-	33.841111	1.2	13.3	-
NGC462	1.303028	+	4.226389	0.4	14.7	-
NGC463	1.316167	+	16.325278	1	14.1	-
NGC464	1.324056	+	34.955833			-
NGC465	1.261861	-	73.324167	2	11.5	-
NGC466	1.287083	-	58.909722	1.7	12.7	-
NGC467	1.319472	+	3.301389	1.7	11.8	-
NGC468	1.330111	+	32.767222	0.7	14.3	-
NGC469	1.325833	+	14.871944	0.7	14.1	-
NGC470	1.329111	+	3.409167	2.9	11.8	-
NGC471	1.333222	+	14.785833	1	13.3	-
NGC472	1.341361	+	32.708333	1.3	13.3	-
NGC473	1.331917	+	16.545000	1.9	12.5	-
NGC474	1.335194	+	3.416111	7.1	11.5	-
NGC475	1.333861	+	14.861667	0.4	15	-
NGC476	1.338833	+	16.020556	0.5	14.4	-
NGC477	1.355639	+	40.488611	1.5	13	-
NGC478	1.335806	-	22.378056	0.9	13.9	-
NGC479	1.354361	+	3.862778	1.1	13.9	-
NGC480	1.342861	-	9.880278	0.5	15.2	-
NGC481	1.353500	-	9.211111	1.3	13.3	-
NGC482	1.339000	-	40.966111	2.2	13.3	-
NGC483	1.365639	+	33.520556	0.7	13.2	-
NGC484	1.326333	-	58.524444	1.9	11.1	-
NGC485	1.357639	+	7.018056	1.8	13.2	-
NGC486	1.361944	+	5.346389	0.2	15	-
NGC487	1.365278	-	16.370000	1.1	13.4	-
NGC488	1.362944	+	5.255833	5.4	10.3	-
NGC489	1.364944	+	9.206389	1.7	12.7	-
NGC490	1.367444	+	5.367778	0.7	14.4	-
NGC491	1.355611	-	34.063611	1.4	12.5	-
NGC491A	1.334722	-	33.900556	1.9	13.8	-
NGC492	1.370417	+	5.416944	0.7	15.6	-
NGC493	1.369222	+	0.946389	3.4	12.5	-
NGC494	1.382056	+	33.172778	2	12.9	-
NGC495	1.382222	+	33.470833	1.2	12.9	-
NGC496	1.386556	+	33.528056	1.6	13.4	-
NGC497	1.373306	-	0.874722	2.1	13	-
NGC498	1.386444	+	33.490000	0.5	14.3	-
NGC499	1.386528	+	33.459722	1.7	12.1	-
NGC500	1.377583	+	5.387778	0.8	14.2	-
NGC501	1.389556	+	33.433611	0.5	14.5	-
NGC502	1.382111	+	9.049444	1.1	12.8	-
NGC503	1.391222	+	33.332222	0.9	14.1	-
NGC504	1.391139	+	33.203889	1.7	13	-
NGC505	1.382528	+	9.468889	0.9	13.8	-
NGC506	1.393194	+	33.243889			-
NGC507	1.394444	+	33.256667	2.5	11.2	-
NGC508	1.394639	+	33.280278	1.1	13.1	-
NGC509	1.390028	+	9.433333	1.6	13.4	-
NGC510	1.398750	+	33.497500			-
NGC511	1.391861	+	11.290833	1.1	13.7	-
NGC512	1.399944	+	33.907222	1.6	13.2	-
NGC513	1.407472	+	33.798889	0.9	13	-
NGC514	1.401083	+	12.917222	3.7	11.7	-
NGC515	1.410750	+	33.472222	1.4	13	-
NGC516	1.402222	+	9.551944	1.4	13.1	-
NGC517	1.412167	+	33.428889	1.4	12.5	-
NGC518	1.404917	+	9.330833	1.6	13.3	-
NGC519	1.407972	-	1.641389	0.5	14.3	-
